Crop Type,Farming Type,Irrigation Type,Pincode,Location (State),Nitrogen (N),Phosphorus (P),Potassium (K),Disease (Bacterial Blight),Fertilizer Type,Fertilizer Quantity (kg/ha),Time of Application (Stage),Sustainable Measures
Rice,Conventional,Sprinkler,500010,Telangana,150,30,30,No,Ammonium Sulfate,90,Reproductive Stage,Green Manure
Rice,Organic,Flood,600010,Tamil Nadu,135,35,40,Yes,Urea,115,Vegetative Stage,Mulching
Rice,Conventional,Drip,700010,West Bengal,170,25,25,Yes,DAP,80,Early Growth,Crop Diversification
Rice,Organic,Sprinkler,400010,Maharashtra,145,30,20,Yes,NPK Complex,105,Tillering Stage,Organic Fertilizer
Rice,Conventional,Flood,110011,Delhi,160,25,30,No,Ammonium Sulfate,95,Reproductive Stage,Integrated Pest Mgmt
Rice,Organic,Drip,600011,Tamil Nadu,150,20,35,Yes,Urea,110,Vegetative Stage,Agroforestry
Rice,Conventional,Sprinkler,500011,Telangana,135,30,25,Yes,NPK Complex,85,Early Growth,Crop Rotation
Rice,Organic,Flood,700011,West Bengal,140,35,30,Yes,DAP,95,Reproductive Stage,Green Manure
Rice,Conventional,Drip,400011,Maharashtra,160,25,35,No,Ammonium Sulfate,75,Panicle Initiation,Mulching
Rice,Organic,Sprinkler,110012,Delhi,145,30,20,Yes,Urea,115,Tillering Stage,Crop Diversification
Rice,Conventional,Flood,600012,Tamil Nadu,170,25,25,Yes,NPK Complex,90,Vegetative Stage,Organic Fertilizer
Rice,Organic,Drip,500012,Telangana,150,35,40,Yes,Ammonium Sulfate,80,Reproductive Stage,Integrated Pest Mgmt
Rice,Conventional,Sprinkler,700012,West Bengal,135,30,30,No,Urea,100,Panicle Initiation,Agroforestry
Rice,Organic,Flood,400012,Maharashtra,145,20,35,Yes,DAP,70,Early Growth,Crop Rotation
Rice,Conventional,Drip,110013,Delhi,160,25,25,Yes,NPK Complex,90,,
